##, Gene,  % In, % In, % Ratio, Up, Down, Up
1, Luc, 6.350699E-5, 1.8962799E-5, 0.2985939, , Luc, , Luc, 
685, ACTR3, 1.2443937E-5, 1.5386957E-5, 1.2365024, , , , , 
686, ACTR3, 6.0574795E-5, 2.6060305E-5, 0.43021697, , , , , 
687, ACTR3, 6.2720304E-5, 2.356805E-5, 0.37576428, , , , , 
688, ACTR3, 1.1442701E-6, 2.9148532E-5, 25.473473, , , , , 
689, ACVR1, 1.0012363E-6, 1.040245E-5, 10.3896055, ACVR1, , ACVR1, , 
690, ACVR1, 2.1455064E-6, 7.9101965E-6, 3.6868668, ACVR1, , , , 
691, ACVR1, 1.008388E-5, 1.2894704E-5, 1.2787443, ACVR1, , , , 
692, ACVR1, 9.790661E-5, 2.7198073E-5, 0.2777961, ACVR1, , , , 
693, ACVR1, 6.6439185E-5, 1.321978E-5, 0.19897565, ACVR1, , , , 
694, ACVR1, 2.0739894E-6, 4.058039E-5, 19.566343, ACVR1, , , , 
695, ACVR1B, 1.04200095E-4, 1.1756936E-5, 0.11283038, , , , , 
696, ACVR1B, 6.429367E-5, 1.6768533E-4, 2.6081157, , , , , 
697, ACVR1B, 1.5733714E-6, 1.1903221E-4, 75.654236, , , , , 
698, ACVR1B, 4.2910128E-7, 1.7554135E-5, 40.909073, , , , , 
699, ACVR1B, 4.2337993E-5, 9.914836E-6, 0.23418294, , , , , 
700, ACVR1C, 4.4125914E-5, 7.5580305E-5, 1.7128326, , , , , 
701, ACVR1C, 2.5030908E-5, 3.1586605E-5, 1.2619041, , , , , 
702, ACVR1C, 2.4387256E-5, 2.9419429E-5, 1.2063444, , , , , 
703, ACVR1C, 8.653542E-5, 1.6903981E-5, 0.19534175, , , , , 
704, ACVR1C, 7.9169185E-5, 2.8660917E-5, 0.36202112, , , , , 
705, ACVR1C, 2.6175177E-5, 1.0407868E-4, 3.9762359, , , , , 
706, ACVR2A, 1.4310528E-4, 5.092866E-6, 0.035588246, , , , , 
707, ACVR2A, 3.4971756E-5, 6.393172E-5, 1.8280959, , , , , 
708, ACVR2A, 5.049092E-5, 1.2764674E-4, 2.528113, , , , , 
709, ACVR2A, 4.791631E-5, 6.0951857E-5, 1.2720482, , , , , 
710, ACVR2A, 4.2695578E-5, 3.131571E-5, 0.73346496, , , , , 
711, ACVR2B, 4.6629004E-5, 5.667168E-5, 1.215374, , , , , 
712, ACVR2B, 2.8821303E-5, 3.4403936E-5, 1.1936982, , , , , 
713, ACVR2B, 3.4685687E-5, 3.2128402E-5, 0.92627263, , , , , 
714, ACVR2B, 4.4555018E-5, 4.18807E-5, 0.93997717, , , , , 
715, ACVR2B, 6.8656204E-6, 2.9040173E-5, 4.229796, , , , , 
716, ACVRL1, 7.630851E-5, 1.11609625E-5, 0.14626104, , , , , 
717, ACVRL1, 1.9738658E-5, 6.534039E-5, 3.3102753, , , , , 
718, ACVRL1, 4.970423E-5, 1.0294092E-6, 0.020710696, , , , , 
719, ACVRL1, 1.2014836E-5, 3.4891553E-5, 2.904039, , , , , 
720, ACVRL1, 1.8594388E-6, 1.5928752E-5, 8.56643, , , , , 
721, ACVRL1, 1.7378601E-5, 1.26238065E-5, 0.7263995, , , , , 
722, ACY1, 2.9035853E-5, 3.3482887E-5, 1.1531566, , , , , 
723, ACY1, 1.580523E-5, 2.8119122E-5, 1.7791024, , , , , 
724, ACY1, 2.8249167E-5, 1.1594398E-5, 0.41043326, , , , , 
725, ACY1, 6.1504516E-6, 1.137768E-6, 0.18498935, , , , , 
726, ACY1, 5.385221E-5, 3.5595884E-5, 0.6609921, , , , , 
727, ACY1, 6.608159E-5, 4.0146955E-5, 0.60753614, , , , , 
728, ACY3, 3.6688158E-5, 6.6044726E-5, 1.8001647, , , , , 
729, ACY3, 3.547237E-5, 2.275536E-5, 0.6414953, , , , , 
730, ACY3, 2.2170232E-5, 1.0510809E-5, 0.47409558, , , , , 
731, ACY3, 7.301873E-5, 1.609129E-5, 0.22037208, , , , , 
732, ACY3, 1.0498678E-4, 5.1632996E-5, 0.49180475, , , , , 
733, ACY3, 2.3242987E-5, 1.04403756E-4, 4.491839, , , , , 
734, ACYP1, 4.0550072E-5, 9.752297E-6, 0.24050012, , ACYP1, , ACYP1, 
735, ACYP1, 4.0264003E-5, 3.413304E-6, 0.08477309, , ACYP1, , , 
736, ACYP1, 4.2552543E-5, 8.56035E-6, 0.20117128, , ACYP1, , , 
737, ACYP1, 4.033552E-5, 5.4396147E-5, 1.3485917, , ACYP1, , , 
738, ACYP1, 3.597299E-5, 1.890862E-5, 0.5256338, , ACYP1, , , 
